firm year DPS_Dummy risk growth mb size cash lev cr re roa tax fix age liquid
36 2014 0 -0.514 -0.0138 1.3953 16.5239 0.0553 0.9967 0.4825 -140.673 -0.2385 0 0.4939 3.7136 0.6103
36 2015 0 -0.2144 0.9374 1.5326 17.0614 0.0524 0.94 0.4442 -6.2606 -0.1026 0 0.4198 3.7377 1.4861
36 2016 0 -1.4965 1.5471 0.9616 17.5895 0.0946 0.6952 0.6575 -2.3553 0.0056 0 0.259 3.7612 1.3192
37 2011 1 0.0066 0.2633 1.9465 13.513 0.015 0.5523 1.6851 0.7672 0.262 0.0716 0.0319 3.9318 0.0261
37 2012 1 0.1338 0.3974 1.7652 13.634 0.0081 0.5502 1.6779 0.7947 0.2806 0.0592 0.049 3.9512 0.0151
37 2013 1 0.4457 0.1704 2.4919 14.1808 0.1282 0.5677 1.5842 0.8764 0.312 0.0978 0.0868 3.9703 0.322
37 2014 1 0.0802 0.3252 1.5916 14.6191 0.0156 0.6605 1.2757 0.8985 0.2255 0.0472 0.1473 3.989 0.1203
37 2015 1 0.6246 0.2409 1.0691 14.8301 0.0825 0.6271 1.383 0.789 0.2121 0.0701 0.1271 4.0073 0.4225
37 2016 1 0.0711 0.0594 6.5601 14.9344 0.012 0.6235 1.3761 0.2278 0.2114 0.0894 0.1224 4.0254 0.0089
38 2009 1 0.0894 0.1597 1.3669 13.4038 0.1469 0.6194 1.5312 0.3317 0.1214 0.2149 0.0712 3.4965 0.0795
38 2010 1 0.3456 0.0119 1.3729 13.5441 0.0642 0.5445 1.8075 0.5107 0.1739 0.2096 0.0712 3.5264 0.1587
38 2011 1 0.4245 -0.2568 0.9609 13.6367 0.0536 0.4928 2.0325 0.3661 0.147 0.2115 0.0654 3.5553 0.2743
38 2012 1 0.11 -0.0785 0.9591 13.7768 0.1121 0.4742 2.0977 0.4563 0.1495 0.2057 0.0554 3.5835 0.1766
38 2013 1 0.1001 0.037 1.5637 13.8156 0.0938 0.3986 2.6659 0.5428 0.1246 0.1776 0.0494 3.6109 0.2575
38 2014 1 0.0688 0.2718 1.233 13.8686 0.0642 0.3836 2.8548 0.5769 0.1304 0.152 0.0472 3.6376 0.1996
38 2015 1 0.2559 0.3929 1.6654 14.0189 0.1638 0.3192 3.648 0.6704 0.1618 0.1787 0.0402 3.6636 0.0833
38 2016 1 0.2205 0.2334 6.0452 14.2214 0.13 0.3797 2.7988 0.3812 0.1809 0.1532 0.0415 3.6889 0.0106
39 2009 1 0.0947 0.1467 0.9568 14.1584 0.0078 0.7473 0.5374 0.3825 0.0404 0.225 0.7178 3.912 0.1059
39 2010 1 0.277 -0.0014 1.1387 14.2281 0.0037 0.7122 0.5417 0.4845 0.056 0.1699 0.7072 3.9318 0.1305
39 2011 1 0.158 0.3681 1.0265 14.3337 0.0044 0.6859 0.5916 0.3662 0.0604 0.1866 0.6512 3.9512 0.1201
39 2012 1 0.4328 0.7374 1.0891 14.473 0.0026 0.6007 0.9487 0.5503 0.1319 0.2133 0.4595 3.9703 0.8832
39 2013 1 0.3697 0.5454 1.8062 14.6532 0.0066 0.4926 1.3336 0.606 0.1882 0.2251 0.3838 3.989 0.6517
39 2014 1 0.4892 -0.0035 1.1926 14.8444 0.0067 0.49 1.9823 0.5179 0.1134 0.2012 0.3826 4.0073 0.1751
39 2015 1 0.2669 -0.0643 1.4533 14.7722 0.0047 0.3121 2.0995 0.613 0.1785 0.2066 0.3043 4.0254 0.0922
39 2016 1 0.7085 0.0306 4.0333 14.9615 0.0065 0.4212 1.6311 0.5587 0.0981 0.2167 0.2534 4.0431 0.0186
40 2009 1 0.3541 -0.1248 1.2666 17.1849 0.0164 0.5307 1.1407 0.359 0.1373 0.189 0.4097 2.3979 0.1202
40 2010 1 0.1306 0.1802 1.263 17.2981 0.1222 0.5331 1.1525 0.3142 0.1019 0.2551 0.4002 2.4849 0.0424
40 2011 1 0.6215 0.4926 1.0628 17.6611 0.3054 0.567 1.2509 0.4857 0.1818 0.1447 0.2996 2.5649 0.0287
40 2012 1 0.1533 0.0931 1.862 17.9812 0.4659 0.5635 1.3729 0.6295 0.1641 0.1519 0.2347 2.6391 0.0566
40 2013 1 0.178 0.9095 2.0972 18.028 0.2984 0.4311 1.8505 0.7287 0.2922 0.1292 0.2167 2.7081 0.2845
40 2014 1 0.6837 -0.1823 1.0616 17.7207 0.2206 0.399 1.7929 0.5702 0.1384 0.0945 0.2977 2.7726 0.001
40 2015 1 0.4946 -0.3565 1.6595 17.7512 0.1837 0.4211 1.4718 0.1518 0.1292 0.1316 0.3726 2.8332 0.1122
40 2016 1 0.3786 0.013 1.9908 17.8768 0.0307 0.4085 1.5486 3.8569 0.1974 0.2257 0.4449 2.8904 0.0598
41 2013 1 0.7017 1.4279 2.709 18.2323 0.0067 0.423 1.948 0.6824 0.3746 0.1994 0.2164 2.7081 0.2251
41 2014 1 0.8996 -0.339 1.4391 18.1913 0.0192 0.6269 0.5362 0.4184 0.0868 0.1932 0.247 2.7726 0.0294
41 2015 1 1.0977 -0.449 1.6821 18.1517 0.0218 0.6908 1.0379 0.2589 0.0113 0.161 0.2963 2.8332 0.1452
41 2016 1 1.194 0.125 2.7856 18.0519 0.025 0.5536 1.2305 1.3431 0.1488 0.1948 0.3321 2.8904 0.0693
42 2011 1 0.6883 0.5504 1.5086 15.9651 0.0391 0.5858 1.316 0.3489 0.0885 0.2162 0.2811 3.6109 0.2228
42 2012 1 0.8096 0.094 2.4496 16.5022 0.0338 0.6454 0.8426 0.5556 0.1902 0.2107 0.3564 3.6376 0.1242
42 2013 1 0.7504 1.0119 2.0998 17.1766 0.0441 0.6002 1.0119 0.7992 0.316 0.1833 0.2101 3.6636 0.1029
42 2014 1 1.288 -0.2081 1.5876 16.9793 0.0158 0.8667 0.4112 0.2664 0.018 0 0.2813 3.6889 0.0411
42 2015 1 1.0734 -0.3799 1.2642 17.0153 0.0306 0.7893 0.4878 0.1519 0.0047 0 0.2869 3.7136 0.1444
42 2016 1 1.3303 0.1071 1.759 16.9608 0.009 0.7842 0.4267 9.6325 0.164 0 0.3095 3.7377 0.163
43 2013 1 0.9425 1.0109 2.2169 17.3595 0.1055 0.7588 0.9645 0.9417 0.1407 0.1777 0.3346 2.7081 0.2169
43 2014 1 1.3826 -0.1491 1.1432 17.2945 0.1077 0.5405 1.2713 0.4806 0.1021 0.1486 0.3562 2.7726 0.0028
43 2015 1 0.8602 -0.3999 1.6701 17.3192 0.0754 0.5252 1.1995 0.1575 0.079 0.1421 0.3398 2.8332 0.1277
43 2016 1 0.639 0.0834 2.0943 17.3267 0.0684 0.2093 3.2498 1.6785 0.277 0.1785 0.3185 2.8904 0.064
44 2013 1 0.9715 0.8746 2.3051 16.0608 0.2846 0.4558 2.0539 0.7538 0.4011 0.1971 0.0547 2.7081 0.2567
44 2014 1 1.1594 -0.2007 1.7111 15.8042 0.252 0.8005 1.1738 0.132 0.0513 0.0235 0.0811 2.7726 0.0205
44 2015 1 0.1989 -0.3593 2.1455 15.6117 0.3391 0.7491 1.317 0.0889 0.0469 0 0.0998 2.8332 0.0617
44 2016 1 1.0713 0.0853 4.6095 16.0284 0.5232 0.756 1.7049 1.338 0.224 0.0152 0.058 2.8904 0.0346
45 2016 1 1.3514 0.0314 2.4109 16.5831 0.0985 0.8816 0.5384 1.7478 0.0695 0.0091 0.5439 2.8904 0.1491
46 2009 1 0.1057 -0.0979 0.9371 14.6143 0.1254 0.6223 1.4306 0.6046 0.087 0.069 0.3343 2.9957 0.1301
46 2010 1 0.1628 0.1057 1.0586 14.7538 0.227 0.7083 1.2018 0.5546 0.06 0.0461 0.2714 3.0445 0.3486
46 2011 1 1.1035 1.0591 0.7678 15.6866 0.0256 0.5624 1.3206 0.534 0.1912 0.0973 0.2731 3.091 0.1598
46 2012 1 0.3467 0.5544 0.987 16.0064 0.0054 0.6728 1.3483 0.8866 0.2291 0.0632 0.1015 3.1355 0.0945
47 2012 1 0.2699 0.7129 1.4559 16.6859 0.0201 0.6062 1.2187 0.4555 0.1325 0 0.3992 2.7081 0.0284
47 2013 1 0.1142 0.18 1.8283 16.6362 0.0886 0.4345 1.5872 0.5829 0.1184 0 0.5035 2.7726 0.0154
47 2014 1 0.4076 0.1383 2.4462 16.6946 0.0393 0.5113 1.3464 0.5447 0.202 0.0467 0.4274 2.8332 0.0376
47 2015 1 0.2567 -0.2029 2.0073 16.6774 0.0458 0.608 1.0052 0.4225 0.1425 0.0449 0.4283 2.8904 0.0063
47 2016 1 0.3698 0.2017 3.9451 16.799 0.048 0.5445 1.2455 0.7143 0.2154 0.0957 0.3412 2.9444 4e-04
48 2009 1 0.0898 0.0914 1.188 14.0106 0.0213 0.7054 0.7149 0.228 0.0971 0.0726 0.5057 3.2189 0.0868
48 2010 1 0.1462 0.1015 1.3558 14.0888 0.0511 0.6753 0.7535 0.5867 0.1104 0.0909 0.3934 3.2581 0.1245
48 2011 1 0.318 0.2906 1.2023 14.1279 0.1699 0.7125 0.8511 0.5511 0.0672 0 0.4046 3.2958 0.2338
48 2012 1 0.6284 0.5063 1.5397 14.3503 0.2355 0.7087 0.998 0.6453 0.1399 0.0426 0.2776 3.3322 0.4254
48 2013 1 0.3539 0.2649 1.7612 14.5264 0.2316 0.6702 1.0849 0.7373 0.1955 0.0326 0.2637 3.3673 0.248
48 2014 1 0.9214 -0.0939 0.7726 14.7339 0.1486 0.5707 0.9968 0.4098 0.1321 0 0.4252 3.4012 0.216
48 2015 0 26.0844 -0.4391 1.4619 14.8387 0.0741 0.8793 0.4326 -0.9247 -0.1066 0 0.5828 3.434 0.1291
48 2016 0 -0.2086 0.5585 1.7551 15.5721 0.0063 0.5382 0.3419 -0.8838 -0.069 0 0.8011 3.4657 0.0335
49 2016 1 0.0928 0.1493 6.0141 17.6815 0.024 0.42 1.2577 0.5603 0.346 0.0085 0.2824 3.6376 0.0581
50 2011 1 0.6339 1.0544 2.3676 16.0703 0.2773 0.2271 4.0877 0.8439 0.6204 0.0542 0.2654 3.7842 0.1309
50 2012 1 0.1693 0.3324 1.9213 16.3573 0.3498 0.2944 2.9606 0.8717 0.5922 0.0496 0.2232 3.8067 0.1386
50 2013 1 0.1376 0.4117 2.8146 16.5041 0.288 0.3315 2.6131 0.8831 0.6216 0.0233 0.2202 3.8286 0.1093
50 2014 1 0.6422 -0.072 1.4137 16.5596 0.205 0.3641 2.3662 0.7837 0.4415 3e-04 0.2222 3.8501 0.1027
50 2015 1 0.3262 -0.2214 2.0744 16.5161 0.1753 0.4997 1.6153 0.698 0.2882 0.0151 0.2486 3.8712 0.0553
50 2016 1 0.0735 0.1004 8.1168 16.5422 0.1119 0.4924 1.6419 0.3631 0.2531 0.0231 0.2621 3.8918 0.0222
51 2014 1 0.1277 0.1891 2.1972 15.6397 0.4036 0.126 9.2175 0.6365 0.5309 0.051 0.1293 3.1781 0.0607
51 2015 1 0.1459 0.0084 2.3665 15.5561 0.3829 0.1541 8.0453 0.5917 0.4694 0.061 0.1282 3.2189 0.0609
51 2016 1 0.295 -0.1986 5.1796 15.3379 0.1856 0.157 10.1433 0.9447 0.3822 0.0881 0.1668 3.2581 0.0144
52 2012 1 0.2416 0.4112 2.5882 16.999 0.0476 0.4784 1.6189 0.7902 0.4096 0 0.2472 2.6391 0.0554
52 2013 1 0.1138 0.1824 3.2918 16.8611 0.1117 0.317 2.2587 0.8161 0.5526 0 0.2604 2.7081 0.0791
52 2014 1 0.1944 0.2103 1.9777 16.9503 0.0478 0.4517 1.7611 0.7905 0.3832 0 0.2117 2.7726 0.0244
52 2015 1 0.5592 -0.1089 2.4297 16.2583 0.0274 0.3384 1.8545 0.6532 0.3318 0 0.3962 2.8332 0.017
52 2016 1 0.615 0.2304 17.0376 16.6124 0.1653 0.2391 3.119 0.244 0.591 0 0.3033 2.8904 0.0103
53 2009 1 0.1213 -0.0582 0.989 16.1708 0.1597 0.6848 0.8043 0.6022 0.0829 0.1652 0.3566 3.091 0.0381
53 2010 1 0.3074 0.2084 1.2379 16.0866 0.0227 0.6907 0.7222 0.5589 0.0904 0.1643 0.39 3.1355 0.1546
53 2011 1 0.6178 0.4949 1.3412 16.1433 0.0763 0.6444 0.8153 0.6375 0.1397 0.2035 0.3661 3.1781 0.1325
53 2012 1 0.6731 0.6584 1.1658 16.6082 0.1202 0.6087 1.1702 0.7931 0.2472 0.1032 0.2264 3.2189 0.2435
53 2013 1 0.3266 0.3594 2.2994 16.7272 0.1017 0.55 1.3403 0.8403 0.3513 0.0826 0.2274 3.2581 0.2701
53 2014 1 0.9242 -0.0987 0.8437 16.7758 0.0587 0.5198 1.2774 0.5985 0.2104 0.1085 0.2986 3.2958 0.1333
53 2015 1 0.2464 -0.0862 1.3439 16.7654 0.1103 0.4486 1.6619 0.6239 0.3022 0.0508 0.2949 3.3322 0.0841
53 2016 1 0.5098 0.0129 2.1956 16.7407 0.213 0.4521 1.7606 1.08 0.2039 0.1004 0.2779 3.3673 0.0641
54 2012 1 0.7718 0.8006 1.637 16.827 0.0154 0.6427 1.4379 0.5884 0.1982 0.1139 0.7483 3.8712 0.2007
54 2013 1 0.0496 0.2086 1.6971 17.0522 0.0037 0.7188 0.4283 0.5825 0.1475 0.1233 0.8254 3.8918 0.1895
54 2014 1 0.5478 0.205 0.9628 17.1466 0.0053 0.6618 0.4628 0.4178 0.1185 0.1426 0.8068 3.912 0.0657
54 2015 1 0.9189 -0.2523 1.2734 17.3126 0.0054 0.8088 0.2875 0.1174 0.0213 0.1389 0.8496 3.9318 0.0861
54 2016 1 1.3939 0.6796 1.2335 17.3196 0.0026 0.8387 0.3362 -24.5301 2e-04 0 0.827 3.9512 0.0933
55 2011 0 1.3683 0.4612 1.3195 12.7559 0.034 0.8768 1.038 -0.2593 0.1137 0.0331 0.1101 3.8067 0.0779
55 2012 1 0.8359 0.6434 1.8078 13.2364 0.1645 0.6829 1.4104 0.6905 0.2735 0.2 0.0713 3.8286 0.1427
55 2013 1 0.4374 0.0879 2.634 13.5926 0.3335 0.4932 2.0343 0.8644 0.3632 0.1722 0.0711 3.8501 0.1333
55 2014 0 1.5547 -0.2322 1.2385 13.5935 0.134 0.7354 1.2172 0.28 -0.0514 0 0.1647 3.8712 0.0881
55 2015 0 -1.1572 -0.142 2.8052 13.1665 0.1507 1.4091 0.5493 1.725 -0.7896 0 0.2654 3.8918 0.148
55 2016 0 -0.2534 0.0214 -2.7627 12.8918 0.0513 2.422 0.2854 -0.2084 -0.7233 0 0.3414 3.912 -0.0157
56 2016 1 0.6373 -0.0473 3.7362 17.0236 0.0259 0.462 2.2375 1.0423 0.2589 0.0985 0.5174 2.8904 0.0162
57 2009 1 0.1476 -0.1028 1.5018 15.5198 0.0109 0.6141 0.9763 0.5047 0.1409 0 0.4902 2.3979 0.053
57 2010 1 0.1894 0.2932 2.2767 15.4747 0.077 0.5483 0.9848 0.5573 0.1929 0 0.4689 2.4849 0.1383
57 2011 1 0.5731 0.3989 1.8882 15.7905 0.1656 0.5228 1.303 0.6944 0.3324 0.0102 0.3167 2.5649 0.1159
57 2012 1 0.4695 0.4728 1.7806 16.1199 0.238 0.2633 2.9193 0.8576 0.4767 0 0.2068 2.6391 0.0806
57 2013 1 0.218 0.5624 2.4359 16.3966 0.4237 0.3149 2.6438 0.8839 0.4932 0 0.1501 2.7081 0.0951
57 2014 1 0.27 0.0587 2.3659 16.2819 0.3028 0.4607 1.6321 0.8346 0.3758 0 0.1511 2.7726 0.0408
57 2015 1 0.4076 -0.105 2.1232 16.1071 0.2584 0.5803 1.2067 0.7468 0.2473 0.0127 0.1533 2.8332 0.0219
57 2016 1 0.0182 -0.0319 11.091 16.0426 0.1618 0.4863 1.4434 0.2559 0.2707 0.0082 0.1433 2.8904 0.0088
58 2013 1 0.2582 0.4533 3.0274 17.6213 0.0894 0.1325 5.4459 0.8872 0.7403 0 0.1791 2.7081 0.0163
58 2014 1 0.118 0.028 3.2019 17.5825 0.1404 0.1961 3.2826 0.8735 0.6512 0 0.1799 2.7726 0.0083
58 2015 1 0.1692 -0.054 3.5757 17.5774 0.0898 0.356 1.6608 0.8412 0.5146 0 0.1686 2.8332 0.0399
58 2016 1 0.0855 -0.0101 17.982 17.5386 0.0325 0.4122 1.4517 0.2007 0.4739 0 0.1946 2.8904 0.0124
59 2016 1 0.0948 0.0161 3.4432 17.4954 0.1055 0.2384 2.6531 0.9819 0.2918 0.0402 0.3633 4.0943 0.035
60 2016 1 0.2862 0.1468 1.1037 16.4432 0.1857 0.942 1.0288 1.8546 0.0127 0.2183 0.0298 3.7377 0.1049
61 2011 1 1.3811 0.0919 0.7265 11.4703 0.0504 0.6061 3.507 0.5101 0.2222 0 0.123 4.0073 0.0017
61 2012 0 1.5499 -0.1653 0.9017 11.7171 0.0219 0.749 1.797 0.3994 -0.0079 0 0.0932 4.0254 0.0117
62 2011 1 0.2646 0.3421 0.9541 12.6853 0.0792 0.6202 1.2852 0.1753 0.0613 0.2085 0.4595 3.8501 0.3015
62 2012 1 0.6431 0.2497 1.0342 12.8308 0.1094 0.5643 1.3208 0.3784 0.1415 0.2212 0.4434 3.8712 0.6936
62 2013 1 0.1824 0.3825 1.932 12.8481 0.152 0.5044 1.9239 0.463 0.1803 0.179 0.3293 3.8918 0.6002
63 2009 1 0.1828 0.0756 1.1417 12.8862 0.1379 0.6584 0.991 0.315 0.0954 0.228 0.409 3.4965 0.0117
63 2010 1 0.2233 0.1631 1.2532 12.874 0.0474 0.6196 1.0404 0.3772 0.1327 0.228 0.3724 3.5264 0.0194
63 2011 1 0.0667 0.0576 1.1951 12.9135 0.028 0.6239 1.1049 0.3945 0.1402 0.225 0.3205 3.5553 0.023
63 2012 1 0.2038 0.3848 1.0646 13.1956 0.0728 0.6731 1.0859 0.4746 0.1413 0.2075 0.2792 3.5835 0.0649
63 2013 1 0.3378 0.1235 1.6126 13.3684 0.0145 0.7465 1.0092 0.4301 0.073 0.2185 0.2365 3.6109 0.2969
63 2014 1 0.4859 0.3422 1.7513 13.376 0.0139 0.6913 1.074 0.5355 0.1483 0.1793 0.2505 3.6376 0.2897
63 2015 1 0.1047 -0.004 1.6959 13.6417 0.0451 0.7414 1.0848 0.5749 0.1319 0.1518 0.1992 3.6636 0.1433
63 2016 1 0.3999 0.0619 2.3698 13.9212 0.0053 0.6564 1.322 0.4797 0.1328 0.1457 0.1748 3.6889 0.0313
64 2011 0 -0.9674 0.1792 1.2323 13.5414 0.0082 0.9298 0.427 -3.6758 -0.0574 0 0.8241 3.6636 0.1397
64 2012 0 -1.5936 0.4585 1.0915 13.547 0.0019 0.9188 0.4613 -3.1678 0.0034 0 0.7794 3.6889 0.1499
64 2013 0 0.8839 0.2573 1.2289 13.7462 0.0136 0.7761 0.7097 -0.9299 0.0013 0 0.7192 3.7136 1.0179
64 2014 0 0.4714 0.2685 1.2854 13.7017 0.0015 0.7699 0.4623 -0.9633 0.0028 0 0.6875 3.7377 0.5697
64 2015 0 1.0003 0.0879 1.34 13.7169 0.0021 0.7608 0.9315 -0.8597 0.0155 0 0.6489 3.7612 0.6591
64 2016 0 0.4623 0.0412 1.1417 13.6476 0.0228 0.7317 0.6881 -2.2692 0.0326 0 0.6794 3.7842 1.0417
65 2009 1 0.1518 -0.1317 1.1393 12.6209 0.0221 0.5938 1.1151 0.2728 0.1192 0.2166 0.3957 3.8286 0.0232
65 2010 1 0.0112 0.1086 1.3258 12.8432 0.0421 0.6815 1.1242 0.2576 0.0941 0.2234 0.2773 3.8501 0.1203
65 2011 1 0.0316 0.2705 1.31 12.771 0.0171 0.6555 1.1707 0.2622 0.1057 0.1439 0.2743 3.8712 0.1296
65 2012 1 0.2279 0.3497 1.1412 12.949 0.0241 0.6729 1.2274 0.3506 0.1224 0.169 0.2092 3.8918 0.1121
65 2013 1 0.2345 0.4027 1.8019 13.2679 0.0075 0.7144 1.2182 0.4593 0.1243 0.184 0.1568 3.912 1.1404
65 2014 1 0.5105 0.2066 1.397 13.3669 0.014 0.6115 1.5195 0.64 0.24 0.0846 0.1147 3.9318 0.3861
65 2015 1 0.5706 -0.1141 1.3446 13.4777 0.013 0.7819 1.1696 0.4259 0.0913 0.2229 0.1005 3.9512 0.4409
65 2016 1 0.4034 -0.143 1.9812 13.4822 0.0378 0.6059 1.5484 0.953 0.1246 0.2053 0.1269 3.9703 0.2468
66 2014 0 -0.258 0.093 2.487 12.5476 0.0138 2.3837 0.1647 1.1627 -0.4112 0 0.6621 3.8286 0.0088
66 2015 0 -137.1787 -0.1455 2.1411 12.5541 0.0119 1.9784 0.2466 1.2286 0.4003 0 0.6217 3.8501 0.0446
66 2016 0 -7.9706 0.3285 1.2692 12.5063 0.002 2.6932 0.1541 -0.1106 -0.6008 0 0.6427 3.8712 -0.0055
67 2014 0 -6.5997 0.0342 1.3704 11.6658 0.0894 0.9047 0.7709 -4.6427 0.0168 0 0.2756 4.0254 0
67 2015 0 0.2759 -0.029 1.3877 11.6884 0.1646 0.8818 0.8504 -3.4493 0.025 0 0.2245 4.0431 8e-04
67 2016 0 0.9657 0.6756 1 12.0589 0.0951 0.8278 1.8125 -1.8307 0.0906 0 0.203 4.0604 3e-04
68 2012 1 0.7315 -0.4356 1.2034 13.7504 0.0348 0.6059 1.0763 -0.0775 0.0028 0.1073 0.4945 3.8501 0.063
68 2013 0 -1.5085 0.2524 1.448 13.6544 0.0225 0.6736 0.9018 -0.432 -0.0991 0 0.5659 3.8712 0.8174
68 2014 0 -1.4405 0.7471 1.2134 13.8401 0.0263 0.7352 1.0667 -0.4661 7e-04 0 0.465 3.8918 1.443
68 2015 0 -1.4308 0.0441 0.9888 14.476 0.0222 0.6532 0.8566 -0.3967 -0.0688 0 0.5114 3.912 1.3517
68 2016 0 -1.1937 0.9781 0.9738 14.5461 0.0583 0.706 0.8606 -2.9153 -0.0127 0 0.4821 3.9318 1.4828
69 2015 1 0.0348 0.3778 1.0864 12.2766 0.046 0.6033 1.4378 0.2205 0.0602 0.2261 0.1136 2.9444 0.1322
69 2016 1 0.4185 -0.2334 1.0627 12.1492 0.0162 0.5903 1.3906 5.7998 0.0371 0.0787 0.1228 2.9957 0.0104
70 2011 1 0.1992 0.2046 1.3595 11.4945 0.0407 0.4508 1.5124 0.2831 0.1587 0.2235 0.3317 3.6636 0.0285
70 2012 1 0.0784 0.2138 1.2941 11.5787 0.044 0.4889 1.4499 0.292 0.1627 0.2179 0.3185 3.6889 0.003
70 2013 1 0.1185 0.1513 2.4841 11.6442 0.0187 0.5006 1.5443 0.3213 0.1803 0.2246 0.2788 3.7136 1.1328
70 2014 1 0.0378 0.1465 1.9881 11.7012 0.0193 0.4757 1.6868 0.3894 0.1614 0.1999 0.2641 3.7377 1.7604
70 2015 0 1.2345 0.0268 1.4209 12.4572 0.0108 0.3093 1.2644 0.045 0.0265 0.1971 0.6331 3.7612 0.5082
70 2016 1 0.3244 0.096 3.6797 12.4625 0.0062 0.2928 1.3408 12.5029 0.0422 0.1996 0.6378 3.7842 4.2976
71 2013 1 0.7652 0.1727 4.1855 15.1305 0.1856 0.238 1.4712 0.5983 0.4453 0.0016 0.4541 2.8332 0.0661
71 2014 1 1.1339 -0.2565 1.76 15.4812 0.0163 0.4225 0.4594 0.2935 0.0676 0 0.5395 2.8904 0.0166
71 2015 1 1.3668 -0.4546 1.0797 15.5673 0.0079 0.3588 0.6106 0.1942 0.0012 0 0.5412 2.9444 0.0765
71 2016 1 1.3676 1.0807 1.9644 15.6496 0.0027 0.3762 0.7112 3.5815 0.084 0 0.5559 2.9957 0.1452
72 2014 1 0.607 -0.177 1.2597 15.3968 0.1031 0.622 0.8245 0.6237 0.0636 0.0988 0.377 3.8286 0.3136
72 2015 1 0.0071 -0.2287 1.5251 15.3746 0.1132 0.6261 0.845 0.4021 0.1046 0.1165 0.3565 3.8501 0.4566
72 2016 1 0.2166 0.0656 1.8874 15.3788 0.0541 0.6131 0.929 1.3055 0.0765 0.1263 0.3473 3.8712 0.1136
73 2011 1 0.1249 -0.035 2.0016 12.8154 0.0431 0.6638 1.5904 0.662 0.0704 0.3888 0.2357 2.9444 0.4446
73 2012 1 1.0682 -0.1088 1.4172 12.9901 0.0515 0.7707 1.2294 0.5838 0.0168 0.2375 0.1968 2.9957 0.1517
73 2013 1 0.5292 -0.0133 4.0848 13.2745 0.0194 0.7826 1.2314 0.3244 0.0586 0.2145 0.1404 3.0445 0.0959
73 2014 1 0.0959 1.0823 1.523 13.8934 0.2484 0.8745 1.1007 0.3551 0.0361 0.2138 0.091 3.091 0.5668
73 2015 1 0.3073 0.8557 1.3202 14.4723 0.1062 0.9243 1.0444 0.3973 0.0315 0.1995 0.0578 3.1355 0.4979
73 2016 1 0.1711 0.2028 1.5939 14.8493 0.2117 0.9379 0.9592 0.9234 0.0275 0.1211 0.0344 3.1781 0.2782
74 2011 1 0.3318 0.6277 1.7683 15.226 0.5214 0.7435 1.0046 0.474 0.1286 0.0756 0.1563 2.3979 0.0514
74 2012 1 0.2263 0.4586 1.9105 15.1698 0.3214 0.6774 0.8456 0.5547 0.1879 0.1226 0.1982 2.4849 0.0998
74 2013 1 0.0938 1.0705 2.3029 15.5252 0.2738 0.6181 0.9462 0.5253 0.2076 0.128 0.3079 2.5649 0.5348
74 2014 1 0.5823 1.2255 0.951 15.6267 0.1427 0.5263 0.9887 0.3431 0.1564 0.1401 0.3491 2.6391 0.249
74 2015 1 0.0068 0.328 1.8405 15.7313 0.1853 0.5633 1.0507 0.3392 0.1394 0.1486 0.2782 2.7081 0.1353
74 2016 1 0.061 -0.166 1.7101 15.9738 0.1873 0.6247 0.9135 1.4708 0.1506 0.1641 0.3074 2.7726 0.0505
75 2009 0 5.7193 0.1319 1.1308 14.3901 0.0438 0.9349 0.9938 0.12 0.1194 0.0477 0.1347 2.7726 0.4497
75 2010 0 -4.7593 -0.7871 1.3757 14.0748 0.0561 1.2261 0.8351 1.3474 -0.302 0 0.1647 2.8332 0.3115
75 2011 0 -0.144 0.5441 1.421 14.3553 0.0468 1.3647 0.7069 1.1627 -0.186 0 0.123 2.8904 0.1231
75 2012 0 -0.1315 -0.1437 1.4965 14.6647 0.026 1.4442 0.6354 1.098 -0.1645 0 0.0851 2.9444 0.0096
75 2013 0 -4.5299 0.667 1.4123 14.7985 0.0074 1.3291 1.0514 1.1157 0.0754 0 0.0709 2.9957 0.0498
75 2014 0 -2.5284 -0.7532 1.6993 14.6958 0.0028 1.6605 0.4766 1.0639 -0.2958 0 0.3523 3.0445 0.2218
75 2015 0 -0.0953 0.8831 2.0571 14.6988 0.0063 1.996 0.3834 1.0423 -0.3375 0 0.3476 3.091 0.3601
75 2016 0 -0.111 1.0129 -0.7055 14.8054 0.0144 2.165 0.3532 -0.0302 -0.2592 0 0.2295 3.1355 -0.0066
76 2009 0 0.2865 -0.1679 1.2684 15.1404 0.0436 0.7897 1.1189 -0.2092 0.0447 0 0.0615 3.7136 0.2219
76 2010 0 0.5147 0.153 1.2438 15.0247 0.0393 0.7031 1.3225 0.0365 0.1076 0 0.0724 3.7377 0.0673
76 2011 1 0.0125 0.191 1.1455 15.2098 0.0939 0.6734 1.0798 0.2585 0.0879 0.0365 0.0815 3.7612 0.0752
76 2012 1 0.0875 0.601 0.999 15.3963 0.0856 0.6682 1.1923 0.3856 0.0826 0.0618 0.0746 3.7842 0.048
76 2013 1 0.2174 0.4036 1.1818 15.6642 0.4791 0.6926 1.2047 0.4927 0.0862 0.0604 0.0316 3.8067 0.2886
76 2014 1 0.5105 0.145 1.2159 15.5855 0.3682 0.5019 1.4698 0.6613 0.1986 0.0611 0.0605 3.8286 0.7655
76 2015 1 0.783 -0.2802 1.1668 15.4914 0.2682 0.4833 1.3889 0.3032 0.1252 0.0672 0.085 3.8501 0.1687
