firm year DPS_Dummy risk growth mb size cash lev cr re roa tax fix age liquid
9 2016 1 0.0733 0.1708 4.5468 16.5044 0.0995 0.7188 1.2765 0.6106 0.0848 0.1042 0.0197 3.912 0.2209
10 2011 1 0.3576 0.0884 1.0485 18.4376 0.0389 0.8744 0.7571 0.2472 0.0336 0.2074 0.1445 3.8918 0.109
10 2012 0 -18.5174 -0.3431 1.0138 18.4546 0.0422 0.9334 0.7764 -0.3967 -0.0384 0 0.1309 3.912 0.1525
10 2013 0 -0.8556 0.2029 1.1916 18.4125 0.0331 0.9355 0.8488 -0.6247 -0.0108 0 0.1509 3.9318 0.5763
10 2014 1 2.2172 0.9726 1.1942 18.3783 0.057 0.8454 0.9088 0.1298 0.0628 0 0.1579 3.9512 0.6286
10 2015 1 1.1395 -0.0719 1.3857 18.7393 0.0169 0.8691 1.0103 0.098 0.006 0 0.1198 3.9703 0.5362
10 2016 1 0.6543 0.6591 1.1698 19.0664 0.026 0.8942 0.7723 4.0059 0.0118 0 0.0803 3.989 0.3323
11 2009 1 0.8385 -0.2551 0.9622 16.333 0.0185 0.8346 1.0577 0.1502 0.0148 0 0.0819 3.912 0.1982
11 2010 0 -1.9829 -0.4433 1.0303 16.5196 0.0107 0.9295 0.7459 -0.6549 -0.0735 0 0.0664 3.9318 0.3159
11 2011 0 17.743 1.0647 0.9357 16.6459 0.0099 0.8691 0.8175 0.2066 0.0761 0 0.0595 3.9512 0.1947
11 2012 0 24.7894 -0.6022 0.9963 16.6495 0.0097 0.9398 0.942 -0.7174 -0.0676 0 0.058 3.9703 0.2271
11 2013 0 -0.0656 0.5525 1.0032 16.9047 0.0108 0.8577 0.9627 -0.648 -0.0575 0 0.2034 3.989 0.5747
11 2014 0 -0.1243 0.2118 1.2848 16.8186 0.0127 1.0892 0.8686 3.8665 -0.2329 0 0.2252 4.0073 0.3897
11 2015 0 -0.0198 -0.2616 1.4764 16.9827 0.0138 1.0668 1.2718 7.4361 -0.1924 0 0.4205 4.0254 1.4241
11 2016 0 -0.0383 0.5635 1.1614 16.7023 0.0211 1.648 1.0387 -0.2975 -0.2687 0 0.2654 4.0431 -0.4513
12 2010 1 0.1365 0.1333 1.9278 12.3047 0.058 0.6848 1.2706 0.3354 0.1371 0.1907 0.1414 3.8501 0.2293
12 2011 1 0.0189 0.3095 1.6796 12.5045 0.0065 0.6709 1.2959 0.2928 0.1485 0.188 0.1268 3.8712 0.2191
12 2012 1 0.3974 0.1858 1.4717 12.7833 0.0096 0.7498 1.1871 0.1503 0.0775 0.2236 0.1079 3.8918 0.031
12 2013 1 0.7384 0.6675 1.7277 13.0298 0.0369 0.5683 1.6324 0.5103 0.2478 0.2587 0.0833 3.912 0.528
12 2014 1 0.142 0.1488 1.6421 13.2673 0.0377 0.5658 1.65 0.5178 0.1953 0.2165 0.0658 3.9318 0.3543
12 2015 1 0.1519 0.1983 1.3086 13.6278 0.0502 0.6316 1.4771 0.4398 0.1597 0.197 0.0852 3.9512 0.3525
12 2016 1 0.2602 0.1637 1.7471 14.0672 0.0058 0.6918 1.3652 1.7325 0.1063 0.2233 0.1026 3.9703 0.0725
13 2013 1 1.155 0.3154 4.7396 12.4239 0.0048 0.1836 3.6786 0.6478 0.518 0.0379 0.3237 3.8286 0.1058
13 2014 1 1.0327 -0.1562 3.1859 12.5244 0.0094 0.5548 1.1459 0.4159 0.0731 0 0.3447 3.8501 0.0206
13 2015 1 0.3445 -0.0563 3.4769 12.5948 0.0162 0.4408 1.4892 0.339 0.1722 0.0029 0.3322 3.8712 0.0151
13 2016 1 1.0546 0.34 3.6978 12.6024 0.0198 0.5363 1.237 3.5188 0.0248 0 0.3254 3.8918 0.0272
14 2010 1 0.0219 0.2115 1.3802 13.283 0.1496 0.7355 1.2054 0.7167 0.1676 0.25 0.1721 3.7377 0.3173
14 2011 1 0.3777 0.2188 1.2186 13.4622 0.0304 0.7578 1.1045 0.6283 0.1216 0.225 0.1903 3.7612 0.3608
14 2012 1 0.4754 0.4449 1.2794 14.0163 0.0359 0.7855 1.0716 0.7483 0.1406 0.1862 0.1384 3.7842 0.5138
14 2013 1 0.1461 0.5171 1.4784 14.2669 0.0218 0.7087 1.2793 0.8123 0.1795 0.1744 0.122 3.8067 0.3375
14 2014 1 0.9539 0.1145 0.8628 14.6538 0.0306 0.7083 1.2974 0.4041 0.1185 0.2138 0.0994 3.8286 0.5254
14 2015 1 1.2693 -0.1378 1.0362 14.6195 0.028 0.7249 1.2567 0.0208 0.0099 0 0.1063 3.8501 0.2199
14 2016 0 -14.4957 -0.3324 1.2201 14.4962 0.0619 0.7077 1.287 -18.878 -0.0138 0 0.1169 3.8712 0.1948
15 2009 1 0.0928 -0.0189 0.9947 12.3255 0.0206 0.6983 1.6494 0.1986 0.1217 0.1884 0.2331 4.0431 0.0187
15 2010 1 0.1296 0.011 1.2475 12.541 0.0158 0.7111 1.0796 0.3191 0.0815 0.1823 0.2015 4.0604 0.1295
15 2011 1 0.1801 -0.0358 1.0509 12.5484 0.0307 0.6992 0.9068 0.3509 0.0627 0.1507 0.2239 4.0775 0.3041
15 2012 1 0.2443 -0.2621 0.8354 12.4501 0.0329 0.6066 1.0203 0.1075 0.0488 0.136 0.2125 4.0943 0.1188
15 2013 1 0.4547 0.3293 1.0592 12.6181 0.0356 0.5378 1.6099 0.3552 0.1366 0.135 0.1729 4.1109 0.9559
15 2014 1 0.6157 0.7979 1.5663 12.8437 0.0139 0.3713 2.2065 0.607 0.277 0.1449 0.2024 4.1271 1.6652
15 2015 1 1.0314 -0.3834 1.0781 13.3791 0.0102 0.2309 2.3885 0.0792 0.0634 0.0615 0.458 4.1431 0.4615
15 2016 1 0.3639 0.5821 1.1404 13.4593 0.0127 0.2371 2.6896 6.0111 0.0726 0.0722 0.3847 4.1589 0.7369
16 2009 1 0.7847 -0.8272 1.0917 12.5248 0.0016 0.3354 2.4153 0.1256 0.0389 0.0011 0.0377 2.7081 0.0083
16 2010 1 0.7726 2.2885 0.8575 12.5513 0.0057 0.2553 3.4859 0.2314 0.1287 0.0023 0.0285 2.7726 0.0035
16 2011 1 0.1702 -0.0111 1.1987 12.5203 0.0907 0.2264 4.2099 0.2301 0.1046 0.0024 0.0271 2.8332 0.2095
16 2012 1 0.1035 -0.2304 0.8196 12.5387 0.1106 0.2184 4.4146 0.2443 0.1182 0.0022 0.0246 2.8904 0.3165
16 2013 1 0.0127 0.1799 1.7214 12.5519 0.1272 0.2105 4.4995 0.2605 0.1189 0.0025 0.0316 2.9444 0.5071
16 2014 1 0.1445 0.4932 1.3076 12.6594 4e-04 0.1356 6.8583 0.3022 0.1746 0.0022 0.0267 2.9957 1.4726
16 2015 1 0.6435 -0.5527 1.4315 12.7593 0.0378 0.2767 3.357 0.1412 0.0592 0.0031 0.0231 3.0445 1.292
16 2016 0 1.6205 -0.8453 2.1299 12.7724 8e-04 0.1859 5.1335 7.7902 -0.0049 0 0.0209 3.091 1.1215
17 2011 1 0.2995 0.088 0.8614 13.9237 0.0521 0.6651 1.3107 0.2924 0.0289 0.2933 0.1309 4.0073 0.0653
17 2012 1 0.7338 0.127 0.9187 13.9672 0.0477 0.6946 1.3073 0.187 0.0873 0.225 0.132 4.0254 0.3086
17 2013 1 0.5728 0.5101 1.3277 14.1024 0.0278 0.5958 1.5912 0.4633 0.18 0.2068 0.1296 4.0431 0.6595
17 2014 1 0.7135 -0.0664 1.1401 14.2233 0.0285 0.628 1.4891 0.4833 0.0788 0.217 0.142 4.0604 0.6307
17 2015 1 0.9965 0.004 1.224 14.2635 0.0171 0.6667 1.3833 0.214 0.013 0.1986 0.1596 4.0775 0.3995
17 2016 1 0.0253 -0.1247 1.5238 14.2411 0.0225 0.6804 1.3999 4.6111 0.0129 0.2067 0.15 4.0943 0.2708
18 2009 0 3.7406 0.0239 0.9078 12.6718 0.0043 0.6886 0.5732 0.0142 -0.041 0 0.2429 3.8067 0.434
18 2010 0 -0.5669 -0.0392 1.0096 12.6945 0.0025 0.7892 0.5494 -0.4237 -0.0936 0 0.2165 3.8286 0.258
18 2011 0 -0.255 0.3086 1.066 12.6887 0.0137 0.9304 0.469 -3.3382 -0.1793 0 0.1924 3.8501 0.1294
18 2012 0 -0.3746 0.1147 1.1156 12.7373 0.0221 1.0088 0.6763 33.8576 -0.075 0 0.1574 3.8712 0.1531
18 2013 0 -0.8414 0.0238 1.6712 12.5958 0.0087 1.4045 0.3656 1.8189 -0.3404 0 0.1496 3.8918 0.0199
18 2014 0 -0.1717 -0.6078 2.0124 12.5843 0.0054 1.849 0.2653 1.3947 -0.4398 0 0.1223 3.912 0.2048
19 2009 0 -2.8412 0.2342 1.2619 14.2611 0.0049 0.8757 1.3195 -0.5931 0.0216 0 0.0396 3.1781 0.8585
